matricule,Mois,quantite
2374,2023-09,190.28
2374,2023-10,230.89
2374,2023-12,28.12
2374,2024-01,260.98
2374,2024-02,205.93
2374,2024-03,69.3
2394,2023-06,1536.5
2394,2023-07,1687.66
2394,2023-08,1284.6399999999999
2394,2023-09,1223.17
2394,2023-10,1362.72
2394,2023-12,151.13
2394,2024-01,1694.19
2394,2024-02,1549.1
2394,2024-03,711.8399999999999
2472,2023-06,74.83
2472,2023-07,36.73
2472,2023-08,76.65
2472,2023-09,74.83
2472,2023-10,73.91999999999999
2472,2024-01,36.28
2472,2024-02,115.64999999999999
2472,2024-03,36.28
2476,2023-06,181.17
2476,2023-07,150.57
2476,2023-08,176.42000000000002
2476,2023-09,185.49
2476,2023-10,143.76
2476,2024-01,150.11
2476,2024-02,197.05
2476,2024-03,63.49
2478,2023-06,119.47999999999999
2478,2023-07,119.2
2478,2023-08,119.48
2478,2023-09,119.48
2478,2023-10,119.48
2478,2024-01,119.2
2478,2024-02,119.19999999999999
2478,2024-03,79.2
2483,2023-06,42.82
2483,2024-01,48.36
2483,2024-02,113.35
2487,2023-06,356.81
2487,2023-07,394.45
2487,2023-08,289.11
2487,2023-09,361.96999999999997
2487,2023-10,310.07
2487,2023-12,38.81
2487,2024-01,251.47
2487,2024-02,340.18
2487,2024-03,172.07
2502,2023-06,116.88
2502,2023-07,85.65
2502,2023-08,123.43
2502,2023-09,71.03999999999999
2502,2023-10,118.39
2502,2024-01,88.16
2502,2024-02,175.82
2502,2024-03,27.71
2504,2023-06,141.76999999999998
2504,2023-07,180.71
2504,2023-08,197.63
2504,2023-09,205.53
2504,2023-10,114.46
2504,2023-12,9.11
2504,2024-01,126.68
2504,2024-02,117.82
2504,2024-03,33.66
2507,2023-06,324.72
2507,2023-07,336.6
2507,2023-08,356.40000000000003
2507,2023-09,318.39
2507,2023-10,237.60000000000002
2507,2023-12,39.6
2507,2024-01,277.2
2507,2024-02,297.0
2507,2024-03,118.80000000000001
2515,2023-06,1394.45
2515,2023-07,1150.1399999999999
2515,2023-08,1381.3600000000001
2515,2023-09,1266.0
2515,2023-10,1390.44
2515,2024-01,1333.5
2515,2024-02,1353.15
2515,2024-03,586.9100000000001
2522,2023-06,278.93
2522,2023-07,287.77
2522,2023-08,303.76
2522,2023-09,234.46
2522,2023-10,173.35000000000002
2522,2024-01,272.68
2522,2024-02,213.47000000000003
2522,2024-03,116.55
2529,2023-06,160.41
2529,2023-07,160.39
2529,2023-08,160.38
2529,2023-09,160.38
2529,2023-10,38.02
2530,2023-06,413.85
2530,2023-07,350.87
2530,2023-08,298.61
2530,2023-09,355.23
2530,2023-10,371.09
2530,2023-12,29.7
2530,2024-01,238.81
2530,2024-02,369.49
2530,2024-03,117.62
2532,2023-06,340.15
2532,2023-07,290.48
2532,2023-08,423.13
2532,2023-09,322.11
2532,2023-10,209.51999999999998
2532,2024-01,159.95
2532,2024-02,261.53
2532,2024-03,80.28
2537,2023-06,359.44
2537,2023-07,370.63
2537,2023-08,338.81
2537,2023-09,112.59
2537,2023-10,153.39999999999998
2537,2023-12,48.11
2537,2024-01,237.79
2537,2024-02,285.9
2537,2024-03,119.38999999999999
2539,2023-06,156.43
2539,2023-07,185.85
2539,2023-08,185.32999999999998
2539,2023-09,191.88
2539,2023-10,171.47
2539,2024-01,134.24
2539,2024-02,150.09
2539,2024-03,77.22
2544,2023-06,1286.92
2544,2023-07,890.19
2544,2023-08,1592.34
2544,2023-09,1068.0
2544,2023-10,1297.99
2544,2023-12,148.61
2544,2024-01,1420.64
2544,2024-02,1538.03
2544,2024-03,503.78
2549,2023-06,293.1
2549,2023-07,326.06
2549,2023-08,283.56
2549,2023-09,224.15
2549,2023-10,177.38
2549,2023-12,7.92
2549,2024-01,277.04
2549,2024-02,159.79000000000002
