matricule;date;quantite;fournisseur;typePaiement;note;station
2532;12/06/2023 09:36;40.82;0;1407026665;4;98
837710;12/06/2023 12:29;33.11;0;1407058655;4;14
817359;12/06/2023 12:00;49.37;0;1407022916;3;94
2550;12/06/2023 11:48;128.46;0;1407045629;3;94
837709;12/06/2023 10:42;15.11;0;1407022917;3;94
837709;12/06/2023 15:48;50.38;0;1407022917;3;94
2515;12/06/2023 14:50;193.95;0;1407004707;3;7
1889;12/06/2023 14:01;41.27;0;1407025486;4;94
2558;12/06/2023 13:38;37.62;0;1407004595;0;102
294;12/06/2023 17:10;75.57;0;1407020803;3;122
1234;12/06/2023 16:37;100.76;0;1407004727;3;6
2374;13/06/2023 09:46;25.74;0;1407022474;0;15
1111;13/06/2023 09:36;114.36;0;1407004713;3;94
929;13/06/2023 08:03;40.3;0;1407004714;3;118
2834;13/06/2023 13:08;12.67;0;1407046036;0;122
2530;13/06/2023 12:21;29.7;0;1407004596;0;41
2394;13/06/2023 15:48;125.94;0;1407020802;3;94
1139;13/06/2023 15:30;342.57;0;1407023587;3;94
2529;13/06/2023 15:15;19.8;0;1407008328;0;100
2478;13/06/2023 15:07;36.44;0;1407054290;0;97
2487;13/06/2023 14:56;35.64;0;1407022475;0;26
2544;13/06/2023 14:03;168.77;0;1407040610;3;94
2507;13/06/2023 13:58;39.6;0;1407004592;0;98
2559;14/06/2023 07:36;161.21;0;1407004726;3;93
2539;14/06/2023 10:14;27.52;0;1407018026;0;94
2544;14/06/2023 09:20;65.24;0;1407040610;3;70
929;14/06/2023 12:54;62.97;0;1407004714;3;87
294;14/06/2023 15:05;74.56;0;1407020803;3;46
2550;14/06/2023 14:36;100.76;0;1407045629;3;93
230;14/06/2023 19:10;83.12;0;1407018303;3;29
218;14/06/2023 17:42;56.93;0;1407004717;3;100
2504;14/06/2023 23:32;29.7;0;1407004598;0;94
2530;15/06/2023 09:57;37.23;0;1407004596;0;99
2558;15/06/2023 08:48;25.74;0;1407004595;0;93
2502;15/06/2023 12:55;30.23;0;1407062407;3;94
