date,v1,odometre,matricule
2023-01-06 07:55:00,7.0,,218
2023-01-06 08:24:00,14.0,,218
2023-01-06 09:13:00,20.0,,218
2023-01-06 09:14:00,33.0,,218
2023-01-06 10:08:00,19.0,,218
2023-02-06 07:49:00,15.0,,218
2023-02-06 08:02:00,34.0,,218
2023-02-06 11:39:00,5.0,,218
2023-02-06 11:40:00,13.0,,218
2023-02-06 14:36:00,10.0,,218
2023-03-06 08:28:00,4.0,,218
2023-03-06 09:58:00,10.0,,218
2023-04-06 07:28:00,27.0,,218
2023-04-06 19:43:00,8.0,,218
2023-05-06 07:53:00,27.0,,218
2023-05-06 10:39:00,5.0,,218
2023-05-06 10:42:00,11.0,,218
2023-05-06 12:56:00,1.0,,218
2023-06-06 08:13:00,33.0,,218
2023-06-06 11:58:00,10.0,,218
2023-06-06 12:06:00,19.0,,218
2023-06-06 20:29:00,16.0,,218
2023-06-06 20:37:00,9.0,,218
2023-07-06 07:59:00,3.0,,218
2023-07-06 12:04:00,7.0,,218
2023-07-06 13:45:00,10.0,,218
2023-07-06 16:13:00,9.0,,218
2023-07-06 16:31:00,25.0,,218
2023-07-06 16:32:00,39.0,,218
2023-08-06 07:52:00,0.0,,218
2023-08-06 12:58:00,0.0,,218
2023-08-06 14:06:00,13.0,,218
2023-08-06 15:13:00,6.0,,218
2023-08-06 16:55:00,2.0,,218
2023-08-06 17:25:00,0.0,,218
2023-09-06 10:27:00,28.0,,218
2023-09-06 15:45:00,0.0,,218
2023-10-06 08:18:00,8.0,,218
2023-10-06 09:14:00,16.0,,218
2023-10-06 09:31:00,16.0,,218
2023-10-06 10:10:00,9.0,,218
2023-10-06 13:18:00,7.0,,218
2023-12-06 05:19:00,36.0,,218
2023-12-06 05:49:00,30.0,,218
2023-12-06 05:55:00,18.0,,218
2023-12-06 06:58:00,5.0,,218
2023-12-06 08:33:00,40.0,,218
2023-12-06 09:07:00,28.0,,218
2023-12-06 09:29:00,26.0,,218
2023-12-06 09:31:00,32.0,,218
2023-12-06 09:45:00,11.0,,218
2023-12-06 11:44:00,7.0,,218
2023-12-06 15:01:00,2.0,,218
2023-06-13 07:49:00,20.0,,218
2023-06-13 09:46:00,6.0,,218
2023-06-13 12:25:00,13.0,,218
2023-06-13 13:53:00,6.0,,218
2023-06-13 16:19:00,1.0,,218
2023-06-14 14:10:00,25.0,,218
2023-06-15 07:19:00,2.0,,218
2023-06-15 12:36:00,1.0,,218
2023-06-15 13:51:00,2.0,,218
2023-06-15 14:02:00,6.0,,218
2023-06-15 15:11:00,13.0,,218
2023-06-15 16:49:00,14.0,,218
2023-06-16 07:45:00,2.0,,218
2023-06-16 07:57:00,11.0,,218
2023-06-16 12:14:00,0.0,,218
2023-06-16 20:00:00,1.0,,218
2023-06-17 08:51:00,0.0,,218
2023-06-18 18:18:00,7.0,,218
2023-06-19 10:02:00,9.0,,218
2023-06-19 10:51:00,24.0,,218
2023-06-19 11:42:00,9.0,,218
2023-06-19 11:59:00,5.0,,218
2023-06-20 08:04:00,10.0,,218
2023-06-20 08:13:00,36.0,,218
2023-06-20 09:35:00,39.0,,218
2023-06-20 11:40:00,5.0,,218
2023-06-20 11:52:00,4.0,,218
2023-06-20 11:56:00,13.0,,218
2023-06-20 14:05:00,7.0,,218
2023-06-20 14:28:00,10.0,,218
2023-06-20 15:17:00,6.0,,218
2023-06-20 15:58:00,5.0,,218
2023-06-20 16:41:00,16.0,,218
2023-06-21 06:15:00,3.0,,218
2023-06-21 06:22:00,26.0,,218
2023-06-21 08:27:00,0.0,,218
2023-06-21 09:03:00,2.0,,218
2023-06-21 09:28:00,2.0,,218
2023-06-21 10:50:00,0.0,,218
2023-06-21 12:00:00,2.0,,218
2023-06-21 14:03:00,3.0,,218
2023-06-21 14:44:00,18.0,,218
2023-06-22 07:09:00,25.0,,218
2023-06-22 08:17:00,7.0,,218
2023-06-22 09:42:00,5.0,,218
2023-06-22 12:07:00,2.0,,218
2023-06-23 11:01:00,15.0,,218
2023-06-23 14:03:00,5.0,,218
2023-06-23 14:34:00,6.0,,218
2023-06-23 14:41:00,7.0,,218
2023-06-23 16:08:00,4.0,,218
2023-06-23 18:28:00,1.0,,218
2023-06-24 09:55:00,11.0,,218
2023-06-24 10:56:00,15.0,,218
2023-06-24 11:07:00,28.0,,218
2023-06-24 13:09:00,17.0,,218
2023-06-24 19:23:00,1.0,,218
2023-06-26 09:07:00,8.0,,218
2023-06-26 09:10:00,33.0,,218
2023-06-26 12:09:00,12.0,,218
2023-06-27 07:59:00,1.0,,218
2023-06-29 21:01:00,2.0,,218
2023-06-30 18:12:00,4.0,,218
2023-06-30 20:07:00,8.0,,218
2023-01-07 07:54:00,27.0,,218
2023-01-07 07:55:00,34.0,,218
2023-02-07 09:05:00,0.0,,218
2023-02-07 09:28:00,19.0,,218
2023-03-07 10:45:00,0.0,,218
2023-03-07 11:47:00,6.0,,218
2023-03-07 13:05:00,13.0,,218
2023-03-07 13:23:00,19.0,,218
2023-03-07 13:42:00,18.0,,218
2023-03-07 19:04:00,2.0,,218
2023-04-07 11:04:00,1.0,,218
2023-04-07 11:32:00,2.0,,218
2023-04-07 13:41:00,32.0,,218
2023-04-07 14:45:00,1.0,,218
2023-05-07 07:02:00,14.0,,218
2023-05-07 15:06:00,0.0,,218
2023-06-07 08:02:00,20.0,,218
2023-06-07 08:06:00,49.0,,218
2023-06-07 08:57:00,17.0,,218
2023-06-07 09:17:00,34.0,,218
2023-06-07 10:39:00,5.0,,218
2023-06-07 10:39:00,15.0,,218
2023-06-07 10:42:00,23.0,,218
